Identifiant_de_l_etablissement;Nom_etablissement;Type_etablissement;Statut_public_prive;Adresse_1;Adresse_2;Adresse_3;Code_postal;Code_commune;Nom_commune;Code_departement;Code_academie;Code_region;Ecole_maternelle;Ecole_elementaire;Voie_generale;Voie_technologique;Voie_professionnelle;Telephone;Fax;Web;Mail;Restauration;Hebergement;ULIS;Apprentissage;Segpa;Section_arts;Section_cinema;Section_theatre;Section_sport;Section_internationale;Section_europeenne;Lycee_Agricole;Lycee_militaire;Lycee_des_metiers;Post_BAC;Appartenance_Education_Prioritaire;GRETA;SIREN_SIRET;Fiche_onisep;position;Type_contrat_prive;Libelle_departement;Libelle_academie;Libelle_region;coordX_origine;coordY_origine;epsg_origine;nom_circonscription;latitude;longitude;precision_localisation;date_ouverture;date_maj_ligne;etat;ministere_tutelle;multi_uai;rpi_concentre;rpi_disperse;code_nature;libelle_nature;Code_type_contrat_prive;PIAL;etablissement_mere;type_rattachement_etablissement_mere;code_circonscription;code_zone_animation_pedagogique;libelle_zone_animation_pedagogique;code_bassin_formation;libelle_bassin_formation
0940388L;Ecole primaire Simone Veil;Ecole;Public;4 rue Georges Baudelaire;;94310 ORLY;94310;94054;Orly;094;24;11;1;1;;;;0146861981;;;ce.0940388L@ac-creteil.fr;1;0;0;;;;;;;;;;;;;;;21940054600061;;48.74691128303722, 2.3774283204607465;SANS OBJET;Val-de-Marne;Créteil;Ile-de-France;654223.9;6849824.5;EPSG:2154;Circonscription d'inspection  du 1er degre d'Orly;48.74691128303722;2.3774283204607465;Numéro de rue;1965-05-01;2026-05-27;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0941042X;;;0942396U;;;;
0940389M;Ecole élémentaire Les Antes;Ecole;Public;1 rue Guillaume Colletet;;94150 RUNGIS;94150;94065;Rungis;094;24;11;0;1;;;;0179616130;;;ce.0940389M@ac-creteil.fr;1;0;0;;;;;;;;;;;;;;;21940065200091;;48.75152174950586, 2.3444813033101757;SANS OBJET;Val-de-Marne;Créteil;Ile-de-France;651805.7;6850356.7;EPSG:2154;Circonscription d'inspection du 1er degré de Fresnes;48.75152174950586;2.3444813033101757;Numéro de rue;1965-05-01;2026-05-27;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0940101Z;;;0940927X;;;;
0940400Z;Ecole maternelle Karl Marx;Ecole;Public;51 avenue Karl Marx;;94800 VILLEJUIF;94800;94076;Villejuif;094;24;11;1;0;;;;0147262213;;;ce.0940400Z@ac-creteil.fr;1;0;0;;;;;;;;;;;;;REP;;21940076900135;;48.78451995272085, 2.3591063416899085;SANS OBJET;Val-de-Marne;Créteil;Ile-de-France;652910.7;6854016.7;EPSG:2154;Circonscription d'inspection du 1er degré de Villejuif;48.78451995272085;2.3591063416899085;Numéro de rue;1965-05-01;2026-05-27;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0941038T;;;0940920P;;;;
0940406F;Ecole maternelle Carnot;Ecole;Public;64 avenue Carnot;;94230 CACHAN;94230;94016;Cachan;094;24;11;1;0;;;;0149696083;;;ce.0940406F@ac-creteil.fr;1;0;0;;;;;;;;;;;;;;;21940016500037;;48.799177983320575, 2.325361497839418;SANS OBJET;Val-de-Marne;Créteil;Ile-de-France;650445.3;6855667.1;EPSG:2154;Circonscription d'inspection du 1er degré de Cachan;48.799177983320575;2.325361497839418;Numéro de rue;1965-05-01;2026-05-27;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0941100K;;;0940922S;;;;
0940407G;Ecole maternelle Cités Jardins Albert Thomas;Ecole;Public;46 rue Charles Fourier;;94500 CHAMPIGNY SUR MARNE;94500;94017;Champigny-sur-Marne;094;24;11;1;0;;;;0141774063;;;ce.0940407G@ac-creteil.fr;1;0;0;;;;;;;;;;;;;REP;;21940017300171;;48.8228892442289, 2.514848332960584;SANS OBJET;Val-de-Marne;Créteil;Ile-de-France;664379.8;6858201.3;EPSG:2154;Circonscription d'inspection du 1er degré de Champigny-sur-Marne 1;48.8228892442289;2.514848332960584;Numéro de rue;1965-05-01;2026-05-27;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0940786U;;;0940923T;;;;
0940410K;Ecole maternelle Marcel Cachin;Ecole;Public;22 rue de Chevilly;;94800 VILLEJUIF;94800;94076;Villejuif;094;24;11;1;0;;;;0146776262;;;ce.0940410K@ac-creteil.fr;1;0;0;;;;;;;;;;;;;REP;;21940076900069;;48.786277612654644, 2.354301869114818;SANS OBJET;Val-de-Marne;Créteil;Ile-de-France;652559.3;6854215.0;EPSG:2154;Circonscription d'inspection du 1er degré de Villejuif;48.786277612654644;2.354301869114818;Numéro de rue;1965-05-01;2026-05-27;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0941039U;;;0940920P;;;;
0940412M;Ecole maternelle Olympe de Gouges;Ecole;Public;54 avenue Vladimir Illitch Lénine;;94110 ARCUEIL;94110;94003;Arcueil;094;24;11;1;0;;;;0182012027;;;ce.0940412M@ac-creteil.fr;1;0;0;;;;;;;;;;;;;;;21940003300102;;48.811590672849114, 2.3309883965329554;SANS OBJET;Val-de-Marne;Créteil;Ile-de-France;650870.3;6857043.7;EPSG:2154;Circonscription d'inspection du 1er degré d'Arcueil;48.811590672849114;2.3309883965329554;Numéro de rue;1965-05-01;2026-05-27;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0941971G;;;0940928Y;;;;
0940420W;Ecole maternelle Paul Bert;Ecole;Public;11 rue du Nivernais;;94550 CHEVILLY LARUE;94550;94021;Chevilly-Larue;094;24;11;1;0;;;;0146865385;;;ce.0940420W@ac-creteil.fr;1;0;0;;;;;;;;;;;;;REP;;21940021500055;;48.77362294779327, 2.357483411381545;SANS OBJET;Val-de-Marne;Créteil;Ile-de-France;652781.6;6852806.1;EPSG:2154;Circonscription d'inspection du 1er degré de Vitry-sur-Seine 1;48.77362294779327;2.357483411381545;Numéro de rue;1965-05-01;2026-05-27;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0940071S;;;0940936G;;;;
0940421X;Ecole maternelle Paul Bert Belle Image;Ecole;Public;11 rue Amédée Picard;;94230 CACHAN;94230;94016;Cachan;094;24;11;1;0;;;;0149699990;;;ce.0940421X@ac-creteil.fr;1;0;0;;;;;;;;;;;;;;;21940016500177;;48.79304818817862, 2.3313772835127873;SANS OBJET;Val-de-Marne;Créteil;Ile-de-France;650881.4;6854981.8;EPSG:2154;Circonscription d'inspection du 1er degré de Cachan;48.79304818817862;2.3313772835127873;Numéro de rue;1965-05-01;2026-05-27;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0941100K;;;0940922S;;;;
0940423Z;Ecole maternelle Diderot;Ecole;Public;20 avenue Diderot;;94100 ST MAUR DES FOSSES;94100;94068;Saint-Maur-des-Fossés;094;24;11;1;0;;;;0148836557;;;ce.0940423Z@ac-creteil.fr;1;0;0;;;;;;;;;;;;;;;21940068600115;;48.80139465185296, 2.4798760247928926;SANS OBJET;Val-de-Marne;Créteil;Ile-de-France;661796.4;6855827.7;EPSG:2154;Circonscription d'inspection du 1er degré de Saint-Maur-des-Fossés;48.80139465185296;2.4798760247928926;Numéro de rue;1965-05-01;2026-05-27;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0941220R;;;0940932C;;;;
0940442V;Ecole maternelle Louise Michel;Ecole;Public;21 rue de la Concorde;;94400 VITRY SUR SEINE;94400;94081;Vitry-sur-Seine;094;24;11;1;0;;;;0143903388;;;ce.0940442V@ac-creteil.fr;1;0;0;;;;;;;;;;;;;;;21940081900492;;48.79954187641452, 2.3855011252302836;SANS OBJET;Val-de-Marne;Créteil;Ile-de-France;654863.0;6855671.5;EPSG:2154;Circonscription d'inspection du 1er degré de Vitry-sur-Seine 1;48.79954187641452;2.3855011252302836;Numéro de rue;1965-05-01;2026-05-27;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0941033M;;;0940936G;;;;
0940446Z;Ecole maternelle Charles Beuvin;Ecole;Public;2 rue Henri Koch;;94000 CRETEIL;94000;94028;Créteil;094;24;11;1;0;;;;0156718983;;;ce.0940446Z@ac-creteil.fr;1;0;0;;;;;;;;;;;;;;;21940028000216;;48.801779730282874, 2.455274254590539;SANS OBJET;Val-de-Marne;Créteil;Ile-de-France;659989.7;6855882.7;EPSG:2154;Circonscription d'inspection du 1er degré de Créteil 2;48.801779730282874;2.455274254590539;Numéro de rue;1965-05-01;2026-05-27;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0940100Y;;;0941330K;;;;
0940452F;Ecole maternelle Jules Ferry;Ecole;Public;218 bis rue Jean Jaurès;;94700 MAISONS ALFORT;94700;94046;Maisons-Alfort;094;24;11;1;0;;;;0143964630;;;ce.0940452F@ac-creteil.fr;1;0;0;;;;;;;;;;;;;REP;;21940046200129;;48.791760630186516, 2.4345779830681806;SANS OBJET;Val-de-Marne;Créteil;Ile-de-France;658461.6;6854779.4;EPSG:2154;Circonscription d'inspection du 1er degré de Maisons-Alfort;48.791760630186516;2.4345779830681806;Numéro de rue;1965-05-01;2026-05-27;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0941024C;;;0941537K;;;;
0940453G;Ecole maternelle Makarenko;Ecole;Public;2 rue Jean Perrin;;94200 IVRY SUR SEINE;94200;94041;Ivry-sur-Seine;094;24;11;1;0;;;;0149602606;;;ce.0940453G@ac-creteil.fr;1;0;0;;;;;;;;;;;;;REP;;21940041300122;;48.811856912847134, 2.376756514245487;SANS OBJET;Val-de-Marne;Créteil;Ile-de-France;654231.5;6857045.8;EPSG:2154;Circonscription d'inspection du 1er degré d'Ivry-sur-Seine;48.811856912847134;2.376756514245487;Numéro de rue;1965-05-01;2026-05-27;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0941781A;;;0940930A;;;;
0940458M;Ecole maternelle Polangis;Ecole;Public;12 avenue Joseph Jougla;;94340 JOINVILLE LE PONT;94340;94042;Joinville-le-Pont;094;24;11;1;0;;;;0148893213;;;ce.0940458M@ac-creteil.fr;1;0;0;;;;;;;;;;;;;;;21940042100042;;48.82307347597305, 2.4752018116984074;SANS OBJET;Val-de-Marne;Créteil;Ile-de-France;661469.1;6858240.4;EPSG:2154;Circonscription d'inspection du 1er degré de Nogent-sur-Marne;48.82307347597305;2.4752018116984074;Numéro de rue;1965-05-01;2026-05-27;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0940012C;;;0942241A;;;;
0940462S;Ecole maternelle Elisa Lesourd;Ecole;Public;33 rue Jules Ferry;;94120 FONTENAY SOUS BOIS;94120;94033;Fontenay-sous-Bois;094;24;11;1;0;;;;0171335774;;;ce.0940462S@ac-creteil.fr;1;0;0;;;;;;;;;;;;;;;21940033000078;;48.850427798137844, 2.46112571356251;SANS OBJET;Val-de-Marne;Créteil;Ile-de-France;660456.4;6861288.9;EPSG:2154;Circonscription d'inspection du 1er degré de Fontenay-sous-Bois;48.850427798137844;2.46112571356251;Numéro de rue;1965-05-01;2026-05-27;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0941090Z;;;0940931B;;;;
0940463T;Ecole maternelle D Adamville;Ecole;Public;58 rue Jules Ferry;;94100 ST MAUR DES FOSSES;94100;94068;Saint-Maur-des-Fossés;094;24;11;1;0;;;;0148831689;;;ce.0940463T@ac-creteil.fr;1;0;0;;;;;;;;;;;;;;;21940068600164;;48.79650763310324, 2.4897400434252246;SANS OBJET;Val-de-Marne;Créteil;Ile-de-France;662517.4;6855279.6;EPSG:2154;Circonscription d'inspection du 1er degré de Saint-Maur-des-Fossés;48.79650763310324;2.4897400434252246;Numéro de rue;1965-05-01;2026-05-27;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0941600D;;;0940932C;;;;
0940471B;Ecole maternelle Paul Langevin;Ecole;Public;218 rue Marcel Hartmann;;94200 IVRY SUR SEINE;94200;94041;Ivry-sur-Seine;094;24;11;1;0;;;;0149602617;;;ce.0940471B@ac-creteil.fr;1;0;0;;;;;;;;;;;;;;;21940041300106;;48.80565860472493, 2.3872467894825506;SANS OBJET;Val-de-Marne;Créteil;Ile-de-France;654996.5;6856350.6;EPSG:2154;Circonscription d'inspection du 1er degré d'Ivry-sur-Seine;48.80565860472493;2.3872467894825506;Numéro de rue;1965-05-01;2026-05-27;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0941601E;;;0940930A;;;;
0940476G;Ecole maternelle Maurice Denis;Ecole;Public;39 rue Maurice Pirolley;;94500 CHAMPIGNY SUR MARNE;94500;94017;Champigny-sur-Marne;094;24;11;1;0;;;;0141778094;;;ce.0940476G@ac-creteil.fr;1;0;0;;;;;;;;;;;;;;;21940017300114;;48.819311864711246, 2.494724942458733;SANS OBJET;Val-de-Marne;Créteil;Ile-de-France;662899.8;6857812.8;EPSG:2154;Circonscription d'inspection du 1er degré de Champigny-sur-Marne 1;48.819311864711246;2.494724942458733;Numéro de rue;1965-05-01;2026-05-27;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0941431V;;;0940923T;;;;
0940481M;Ecole maternelle Romain Rolland;Ecole;Public;2 rue des Ormeaux;;94500 CHAMPIGNY SUR MARNE;94500;94017;Champigny-sur-Marne;094;24;11;1;0;;;;0153881121;;;ce.0940481M@ac-creteil.fr;1;0;0;;;;;;;;;;;;;;;21940017300270;;48.812933244910155, 2.547417763915129;SANS OBJET;Val-de-Marne;Créteil;Ile-de-France;666764.7;6857080.1;EPSG:2154;Circonscription d'inspection du 1er degré de Champigny-sur-Marne 2;48.812933244910155;2.547417763915129;Numéro de rue;1965-05-01;2026-05-27;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0941299B;;;0940924U;;;;
0940484R;Ecole primaire Simone Veil;Ecole;Public;56 rue de Paris;;94340 JOINVILLE LE PONT;94340;94042;Joinville-le-Pont;094;24;11;1;1;;;;0149766016;;;ce.0940484R@ac-creteil.fr;1;0;0;;;;;;;;;;;;;;;21940042100059;;48.817980833681304, 2.467379884458676;SANS OBJET;Val-de-Marne;Créteil;Ile-de-France;660891.0;6857678.0;EPSG:2154;Circonscription d'inspection du 1er degré de Nogent-sur-Marne;48.817980833681304;2.467379884458676;BATIMENT;1965-05-01;2026-05-27;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0940012C;;;0942241A;;;;
0940488V;Ecole maternelle Paul Langevin;Ecole;Public;16 rue Gérard Philipe;;94400 VITRY SUR SEINE;94400;94081;Vitry-sur-Seine;094;24;11;1;0;;;;0143911561;;;ce.0940488V@ac-creteil.fr;1;0;0;;;;;;;;;;;;;;;21940081900484;;48.774800271825676, 2.3768370821659075;SANS OBJET;Val-de-Marne;Créteil;Ile-de-France;654204.9;6852925.6;EPSG:2154;Circonscription d'inspection du 1er degré de Vitry-sur-Seine 1;48.774800271825676;2.3768370821659075;Numéro de rue;1965-05-01;2026-05-27;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0941294W;;;0940936G;;;;
0940491Y;Ecole maternelle Parmentier;Ecole;Public;57 avenue du Général de Gaulle;;94700 MAISONS ALFORT;94700;94046;Maisons-Alfort;094;24;11;1;0;;;;0145184433;;;ce.0940491Y@ac-creteil.fr;1;0;0;;;;;;;;;;;;;;;21940046200079;;48.80251802333183, 2.4290425726885427;SANS OBJET;Val-de-Marne;Créteil;Ile-de-France;658063.6;6855978.4;EPSG:2154;Circonscription d'inspection du 1er degré de Maisons-Alfort;48.80251802333183;2.4290425726885427;Numéro de rue;1965-05-01;2026-05-27;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0941596Z;;;0941537K;;;;
